name	Active_1	CR_1	Active_2	Active_3	CR_2	Active_4	CR_3	CR_4	CR_5	Active_5	Active_6	CR_6	Active_7	Active_8	CR_7	CR_8	Active_9	CR_9	CR_10	Healthy_1	Healthy_2	Healthy_3	Healthy_4	Healthy_5	Healthy_6	Healthy_7	Healthy_8	Healthy_9
hsa-miR-103a-2-5p	2	0	1	1	0	0	9	2	7	5.5	0	0	2	1	0	2	6	0	1	4	6	4	3	14	8.5	4.5	2.5	0
hsa-miR-103a-3p	10451.83	6615.33	7180.83	793.17	639.33	1078.67	1982.33	2602.5	6596.17	11623.17	6552.33	1151.17	18328.5	2522.17	1019.17	4369.17	28504.17	1170.67	1691.67	2824.67	3298.5	4106.33	2279.83	5427.17	7976.67	3628.33	1525.17	2306.33
hsa-miR-10400-5p	13	3	1	0	0	0	1	20	10	2	6	1	1	3	4	4	0	0	4	0	0	0	0	0	0	2	6	1
hsa-miR-10401-3p	24	16	24	0	1	0	11	19	13	24	105	0	114	17	13	5	31	1	7	24	5	12	15	33	29	17	8	21
hsa-miR-10401-5p	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10526-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10527-5p	50	23	66	2	5	10	6	16	17	66	87	0	139	13	2	20	115	1	2	23	23	21	15	31	44	20	11	13
hsa-miR-106a-3p	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-106a-5p	29.83	22.5	39	0	1	1	9	0	36.5	39.5	43.5	3	78.5	4	1	30	64	1	3	20.5	16.33	19	6	19.33	30.33	19	6.5	15.83
hsa-miR-106b-3p	1214	749	711	104	85	88	246	371	1035	1595	846	331	2333	307	175	711	2817	97	319	300	377	481	288	560	696	357	196	228
hsa-miR-106b-5p	576	484	261	47	16	57	114	152	621	566	410	95	834	120	135	288	925	99	94	349	645	435	300	664	1120	821	271	331
hsa-miR-107	2456.33	1395.33	1058.33	280.67	129.33	205.67	407.33	643	1779.67	2374.67	861.33	280.67	2996	518.67	340.67	910.67	4748.67	296.67	501.67	525.67	862	736.33	518.33	1049.67	1483.17	991.33	369.67	502.33
hsa-miR-10a-3p	7	8	1	0	0	2	0	0	9	2	0	0	6	6	0	0	4	0	0	0	3	0	4	6	7	3	0	3
hsa-miR-10a-5p	2462.5	2107	1346.5	276	268	355	1356.5	719	6110	1367	1251	851	1557	600	1038	956.5	2652	507	646	888	2260	1352	1209	1280	3782.5	2660	1036	1165
hsa-miR-10b-3p	1	0	0	0	0	0	0	0	5	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0
hsa-miR-10b-5p	1943.5	4811	2086.5	721	593	394	2768.5	1547	20723	711	1279	1552	1392	1213	2807	2548.5	1143	1501	1700	962	3465	799	1588	948	2288.5	5094	1632	1386
hsa-miR-11181-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
hsa-miR-11399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-11400	648	313	226	9	24	54	125	49	183	754	367	43	1024	133	37	148	1369	25	56	179	158	185	135	270	381	248	55	98
hsa-miR-11401	9	6	2	0	0	0	0	0	0	14	0	2	0	0	0	0	11	0	0	0	0	1	0	0	2	2	0	0
hsa-miR-1179	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	2	0	0	0	0	2	0	1	0	2	0	0
hsa-miR-1180-3p	18	12	16	2	6	2	3	0	28	21	19	1	65	3	0	10	18	0	0	5	5	6	4	5	10	6	1	0
hsa-miR-1181	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1185-1-3p	28	16	22	2	0.5	2.5	19	3	8	68.5	97.5	8	135	5	3	14.5	18	0	1	20	17.5	9	9	40.5	29	39	6	15
hsa-miR-1185-2-3p	5	0	2	0	0.5	0.5	0	0	0	9.5	7.5	0	6	0	0	2.5	1	0	0	2	3.5	1	0	1.5	6	3	0	0
hsa-miR-1185-5p	2	0	1.5	0	0	0	0	0	0	5	1.5	0	4	0	0	0	0.5	0	0	4	1.5	1	0.5	2.5	1.5	4.5	3.5	2
hsa-miR-1193	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
hsa-miR-1197	6	3	6	5	0	1	0	0	0	17	10	1	16	0	3	9	9	0	1	11	8	2	6	5	13	13	4	3
hsa-miR-1203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-1207-5p	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
hsa-miR-12114	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	2	3	0	0
hsa-miR-12116	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12135	11	1	35	0	1	0	3	0	3	8	38	3	213	2	10	2	35	1	0	4	14	1	9	4	15	1	10	4
hsa-miR-12136	118	171	215	40	7	12	11	31	51	93	124	20	220	31	17	57	210	3	13	15	33	53	15	54	92	41	24	23
hsa-miR-122-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-122-5p	17	27	40	12	1	4	51	4	23	150	305	4	253	4	47	35	51	21	18	73	49	20	16	76	89	44	44	60
hsa-miR-1224-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
hsa-miR-1224-5p	5	0	0	0	0	0	0	0	0	7	5	2	11	0	0	0	1	0	0	2	1	1	1	1	0	4	2	0
hsa-miR-1225-3p	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1225-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
hsa-miR-1226-3p	0	3	0	0	0	1	0	0	0	5	0	0	0	2	0	0	4	0	0	4	0	1	1	0	2	1	0	0
hsa-miR-1226-5p	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-1227-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-1228-3p	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1228-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	1	0	0	0	0
hsa-miR-1229-3p	57	27	42	8	4	5	27	1	28	48	35	1	64	13	8	11	45	3	19	29	27	58	20	39	45	27	18	28
hsa-miR-1229-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1233-3p	1	0.5	1	0	0	0	0	1	1	2.5	0	3	2	0	0	2.5	3	0	0.5	0.5	1.5	2	0	0.5	1.5	0.5	0	0
hsa-miR-1233-5p	0.5	0	1.5	0	0	0	0	0	0	2.5	0	0	0.5	0	0	0	0	0	0.5	0	0.5	0	0	1.5	0	1	0	0
hsa-miR-1234-3p	1	2	0	1	2	2	0	0	2	2	16	1	1	0	0	4	7	1	3	1	2	4	0	0	2	2	1	0
hsa-miR-1237-3p	0	0	0	0	1	0	0	7	0	5	0	0	2	0	0	0	0	1	3	0	0	2	0	3	3	0	0	0
hsa-miR-1238-3p	0	1	0	0	0	0	0	0	9	5	0	0	6	6	0	4	1	0	0	0	5	1	0	0	0	0	0	0
hsa-miR-124-3p	0	0	0	0	0.67	0	0	0	0.67	0.33	0	0	0	1	0	0	0.33	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1244	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0.5	0	0.25	0	0	0	0.75
hsa-miR-1246	0	1	3	3	3	2	10	11	1	6	34	2	29	5	10	9	8	8	1	4	3	4	4	7	8.5	4	19	3
hsa-miR-1247-5p	1	0	0	1	1	0	0	6	15	1	1	1	3	6	5	0	2	0	6	0	2	0	2	0	0	2	0	0
hsa-miR-1248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-1249-3p	46	38	85	3	11	4	35	6	16	26	114	9	174	14	0	9	117	2	22	62	90	122	55	76	128	69	61	53
hsa-miR-1249-5p	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
hsa-miR-1250-5p	0	0	0	0	1	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1255a	5	7	9	4	1	0	4	0	9	27	27	0	36	6	1	3	39	4	1	13	3	18	4	7	19	15	1	3
hsa-miR-1255b-5p	0.5	0.5	0	0	0	0	2.5	0	0	3	2	0	1	0	0	0	2.5	0	0	0	0	1	0	1	1	0	0	1
hsa-miR-1256	1	9	0	0	0	0	0	0	0	1	1	0	0	0	0	2	4	0	0	1	0	0	0	4	5	0	0	3
hsa-miR-1258	0	0	0	0	0	0	0	0	0	0	2	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-125a-3p	45	4	32	12	0	2	2	4	0	20	20	2	163	1	9	0	47	0	0	5	4	27	12	26	22	5	3	3
hsa-miR-125a-5p	2614	1369	1574	171	154	164	457	331	1332	1296	1766	203	7651	620	543	440	1369	180	272	1055	1098	2955	557	2011	3065	1503	829	1670
hsa-miR-125b-1-3p	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	6	0	0	0	1	0	0	2	0	1	1	0
hsa-miR-125b-2-3p	16	7	8	2	4	0	3	9	22	12	6	0	13	6	9	4	10	2	11	3	5	0	2	2	5	4	5	7
hsa-miR-125b-5p	20	13.5	7	1.5	3	4.5	2.5	3.5	12.5	11	14	5	14	3	7	8	9	1.5	2.5	6	10	5	10.5	9.5	28	26	6.5	8.5
hsa-miR-126-3p	5325	3811	5073	446	299	808	1525	1880	5514	5124	5088	555	11125	1569	901	1970	10267	724	630	1678	1859	2068	1004	2801	4652	3154	931	1615
hsa-miR-126-5p	37342	22512	33547	2481	2044	4457	8877	9279	32866	33496	28358	3241	69669	8998	5342	11527	65846	4803	3668	9383	11341	10548	5316	15381	27096	19082	4628	9546
hsa-miR-1260a	667	289	476	43	56.5	47.5	166.5	206	278.5	615.5	909	116.5	2694.5	206	67.5	180	771	30	53.5	245	318	500.5	251.5	483.5	859.5	356.5	326	271
hsa-miR-1260b	1484	644	1110	72	90.5	160.5	305.5	448	373.5	1549.5	1728	137.5	4777.5	430	101.5	303	2005	66	143.5	611	784	1285.5	562.5	1214.5	1911.5	732.5	660	624
hsa-miR-1261	0	7	5	11	0	0	1	0	1	0	4	1	9	0	0	2	10	4	2	1	0	4	1	0	4	0	0	0
hsa-miR-1262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1266-5p	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	2	0	0	1	0	0	0
hsa-miR-1268a	0	0	0.5	0	0	0	0	0	0	1.5	0.5	0	5	0	0	0	0	0	0	0	0	0.5	0	2	0	0	0	1
hsa-miR-1268b	1	0	1.5	0	0	0	0	0	0	1.5	9.5	0	12	0	0	0	0	0	0	0	0	0.5	0	2	0	0	1	0
hsa-miR-127-3p	4333	1059	3561	252	175	344	681	1765	1000	11739	8279	378	13666	967	377	1249	2656	152	229	2375	1762	1731	1186	5468	6102	2452	1677	1180
hsa-miR-127-5p	17	1	6	1	0	0	2	9	1	59	33	3	35	5	10	5	16	0	0	16	8	4	2	22	25	14	11	7
hsa-miR-1270	20	10	8	0	2	1	8	0	0	3	9	3	26	3	0	0	43	0	1	2	2	4	4	3	5	0	2	3
hsa-miR-1271-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1271-5p	6	5	4	0	0	0	0	0	0	11	10	0	5	0	0	0	4	0	0	0	1	4	5	2	3	4	1	0
hsa-miR-1272	0	0	0	0	0	0	0	0	0	0	18	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1273c	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-1273h-3p	315	172	223	20	45	37	62	136	239	526	204	37	459	110	20	174	904	13	84	76	65	125	61	137	197	63	51	73
hsa-miR-1273h-5p	151	63	194	15	18	4	39	44	46	246	222	16	441	18	14	51	359	10	15	52	23	87	25	96	81	37	23	26
hsa-miR-1275	15	16	13	2	1	2	9	0	0	19	22	0	20	1	0	4	13	3	3	7	6	14	7	7	20	5	0	3
hsa-miR-1276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	1	0	0
hsa-miR-1277-3p	3	2	2	0	0	0	0	1	0	1	0	0	2	0	0	0	4	0	6	0	5	0	0	6	10	2	1	5
hsa-miR-1277-5p	77	87	72	13	0	10	38	56	57	150	97	13	83	35	1	40	296	10	5	26	32	23	19	51	67	38	20	23
hsa-miR-1278	0	2	0	0	0	0	0	0	0	1	5	0	3	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0
hsa-miR-128-1-5p	42	17	42	0	0	1	13	9	6	40	18	0	49	10	1	19	95	3	5	14	5	21	10	19	23	10	3	10
hsa-miR-128-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-128-3p	650	463	497.5	35	59	87	160	201	365	699	601.5	50	1438	169	88.5	170	1050.5	107.5	65	350	412.5	481.5	253.5	588.5	936	596	215	327
hsa-miR-1281	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
hsa-miR-1283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-1284	7	3	3	0	0	2	0	2	4	4	4	0	5	0	0	0	6	0	0	4	2	1	5	5	5	9	2	1
hsa-miR-1285-3p	31	37	43.5	4	8.5	6	4.5	27.5	71.5	92	37.5	9	84	5.5	2	45	190.5	10.5	10	22	45.5	51.5	14.5	39	86	36	17.5	13.5
hsa-miR-1285-5p	4	6	3	0	1	0	0	0	1	3	8	0	13	5	5	7	6	2	0	0	1	4	0	2	3	1	0	0
hsa-miR-1287-5p	31	16	10	0	5	1	4	3	10	10	35	0	23	2	0	11	88	0	0	5	7	4	5	9	13	5	3	5
hsa-miR-1289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0
hsa-miR-129-2-3p	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-129-5p	0	0	1.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0.5	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-1290	0	0	0	0	3	0	3	0	0	0	3	0	0	1	2	0	0	4	0	0	0	0	3	0	0.5	0	0	0
hsa-miR-1291	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1292-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
hsa-miR-1292-5p	10	4	3	0	0	1	2	0	2	11	22	1	13	3	0	4	36	1	0	0	1	2	0	4	1	0	0	0
hsa-miR-1293	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0
hsa-miR-1294	14	3	2	1	0	0	4	26	5	17	13	2	41	1	0	2	28	0	0	0	2	3	0	8	9	2	0	0
hsa-miR-1296-5p	45	19	33	1	5	2	5	18	3	82	38	5	61	14	7	15	130	4	14	14	8	24	10	31	47	21	14	15
hsa-miR-1297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	3	2
hsa-miR-1298-3p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1298-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-1301-3p	151	59	81	6	8	17	23	56	25	217	101	9	182	11	3	16	397	10	12	78	62	134	53	158	203	64	26	72
hsa-miR-1301-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1302	0	0	0	0	0	0	0	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1303	0	0	3	0	0	0	0	0	0	2	0	0	3	0	0	0	2	0	0	0	5	1	0	0	0	1	0	0
hsa-miR-1304-3p	224	145	240	18	11	16	50	103	88	336	236	27	526	94	41	108	511	18	42	68	57	102	45	109	172	48	33	39
hsa-miR-1304-5p	13	4	50	2	1	2	0	4	1	42	27	0	90	0	1	3	73	1	1	11	7	15	9	18	19	4	0	5
hsa-miR-1306-3p	28	9	25	2	3	3	7	22	3	23	29	6	97	3	1	7	44	0	1	2	1	8	2	4	11	2	0	0
hsa-miR-1306-5p	67	43	80	14	15	10	40	50	52	105	117	4	205	27	17	34	166	12	21	28	20	51	32	35	57	41	30	31
hsa-miR-1307-3p	1335	714	1032	126	150	156	292	679	610	2182	1143	192	3952	531	161	644	4993	122	222	491	411	710	382	791	855	490	241	287
hsa-miR-1307-5p	1025	542	915	183	184	124	234	687	605	1865	767	210	1880	489	120	689	3859	163	249	326	314	435	369	575	644	478	184	241
hsa-miR-130a-3p	2756	2055	2627	220	178	211	429	497	1417	2365	1677	172	3665	463	272	669	7398.5	340	258.5	1142	1430	2035	1520.5	2872.5	3394	2098	641.5	1043
hsa-miR-130a-5p	0	0	5	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	1	0	2	0	1	1	0	0	0
hsa-miR-130b-3p	877	501	623	43	76	89	203	340	435	1249	642	74	1723	289	148	322	3208.5	105	126.5	311	331	466	275.5	687.5	958	485	259.5	264
hsa-miR-130b-5p	530	301	426	22	32	32	104	123	203	541	488	28	1514	112	66	93	930	50	25	127	124	204	97	252	335	199	96	99
hsa-miR-132-3p	83	33	41	0	0	8	10	57	100	92	75	19	192	19	7	25	137	1	26	53	43	60	26	68	110	70	10	36
hsa-miR-132-5p	3	3	1	0	0	0	0	0	0	14	4	0	3	0	1	3	6	0	0	0	0	1	0	0	5	0	1	0
hsa-miR-1323	2	6	0	0	0	0	10	0	10	1	4	0	0	0	0	3	0	0	0	0	3	0	0	1	2	8	0	0
hsa-miR-133a-3p	63.33	30.5	78	7	2	16.5	50	29	40.67	52.5	24.83	12.5	118.5	28	5	23	330.83	9.5	21.5	14	7	29.5	7	27	45	155.67	40.83	23.5
hsa-miR-133a-5p	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1.5	0	0	0
hsa-miR-133b	0.33	0	0	0	0	0	1	0	0.67	0	0.33	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0.67	0.33	0
hsa-miR-134-3p	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	0	2
hsa-miR-134-5p	396	103	350	17	11	18	79	105	51	611	860	13	1236	42	15	46	209	11	20	192	74	121	74	354	290	98	95	58
hsa-miR-1343-3p	17	5	6	0	5	3	2	2	0	27	18	5	25	1	0	0	45	0	0	3	1	8	2	4	3	7	2	4
hsa-miR-1343-5p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	2	2
hsa-miR-135a-3p	6	2	4	0	0	0	2	0	2	5	8	0	15	9	0	2	17	0	0	2	0	1	0	0	0	0	0	3
hsa-miR-135a-5p	0	0	0	0	0	0	0	0	0.5	0	1	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0
hsa-miR-136-3p	199	17	79	10	6	14	23	32	59	273	184	2	289	32	17	35	44	11	5	77	60	31	30	177	236	101	31	64
hsa-miR-136-5p	7	4	3	1	0	1	1	3	11	19	17	3	26	2	0	5	7	0	0	17	7	3	11	31	42	20	6	8
hsa-miR-137-3p	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-138-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
