	Cancer_011	Cancer_012	Cancer_013	Cancer_014	Cancer_015	Cancer_016	Cancer_017	Cancer_019	Cancer_020	Cancer_022	Cancer_023	Cancer_024	Cancer_025	Cancer_026	Cancer_027	Cancer_028	Cancer_029	Cancer_030	Cancer_031	Cancer_032	Cancer_033	Cancer_034	Cancer_035	Cancer_036	Cancer_037	Cancer_038	Cancer_039	Cancer_040	Cancer_041	Cancer_042	Cancer_043	Cancer_044	Cancer_045	Cancer_046	Cancer_047	Cancer_048	Healthy_001	Healthy_002	Healthy_003	Healthy_004	Healthy_005	Healthy_006	Healthy_007	Healthy_008	Healthy_010
hsa-miR-101-2-5p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-101-3p	1155	1330	605.5	885	931.5	210.5	1973.5	942	659	2082.5	1892.5	1687.5	249.5	124	44	672	260.5	185	326.5	238	580.5	502.5	2665	2170	1541	289.5	3249	538.5	412	944.5	3560	380.5	334	725.5	954	1013.5	676.5	1107	743	695	1059.5	1851	1383	430.5	646.5
hsa-miR-101-5p	12	7	4	2	16	5	14	10	4	3	3	0	2	2	0	4	1	0	2	1	0	11	12	1	0	1	3	0	2	0	20	0	0	4	4	1	4	6	7	4	12	18	4	7	4
hsa-miR-10392-3p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10393-3p	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-10393-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	0	0	0
hsa-miR-10394-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10396a-5p	0	0	0	0	0	0	0	0.5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10396b-3p	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
hsa-miR-10396b-5p	0	0	0	0	0	0	0	0.5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10397-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
hsa-miR-10398-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-10399-3p	41	61	27	57	61	13	35	30	33	127	41	72	2	7	2	9	0	7	7	10	15	17	33	83	35	2	95	23	4	3	119	13	7	24	15	19	18	26	77	23	44	63	15	7	25
hsa-miR-10399-5p	32	33	3	37	16	0	11	24	17	16	7	21	1	0	0	4	0	1	0	5	12	1	6	30	44	1	38	2	1	0	29	1	1	4	7	7	10	11	31	7	23	25	20	3	4
hsa-miR-103a-1-5p	1	1	0.5	2	1.5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	0.5	1.5	0.5	0
hsa-miR-103a-2-5p	7	5	3.5	2	8.5	3	3	8	6	2	0	1	1	0	4	0	0	2	0	0	9	2	7	5.5	0	0	2	1	0	2	6	0	1	3	1	0	4	6	4	3	14	8.5	4.5	2.5	0
hsa-miR-103a-3p	6346.17	7137.67	2723	3784	8904.5	775.5	4895.83	4007.5	2809.83	10451.83	6615.33	7180.83	793.17	639.33	212.5	2833.67	820.67	819.67	1498.83	1078.67	1982.33	2602.5	6596.17	11623.17	6552.33	1151.17	18328.5	2522.17	1019.17	4369.17	28504.17	1170.67	1691.67	3446.17	3400.67	4503.83	2824.67	3298.5	4106.33	2279.83	5427.17	7976.67	3628.33	1525.17	2306.33
hsa-miR-10400-5p	2	2	0	0	0	0	4	16	5	13	3	1	0	0	0	0	0	3	1	0	1	20	10	2	6	1	1	3	4	4	0	0	4	12	28	51	0	0	0	0	0	0	2	6	1
hsa-miR-10401-3p	35	20	10	14	40	7	18	10	16	24	16	24	0	1	0	10	6	5	2	0	11	19	13	24	105	0	114	17	13	5	31	1	7	13	12	4	24	5	12	15	33	29	17	8	21
hsa-miR-10401-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10526-3p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10527-5p	44	76	16	20	82	12	20	51	13	50	23	66	2	5	0	11	6	0	2	10	6	16	17	66	87	0	139	13	2	20	115	1	2	6	6	11	23	23	21	15	31	44	20	11	13
hsa-miR-106a-3p	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-106a-5p	24	37.5	22.5	15.5	49	2	32	14	23.33	29.83	22.5	39	0	1	0	3	5	3	5	1	9	0	36.5	39.5	43.5	3	78.5	4	1	30	64	1	3	26	9	10	20.5	16.33	19	6	19.33	30.33	19	6.5	15.83
hsa-miR-106b-3p	699	701	348	363	1076	100	715	445	366	1214	749	711	104	85	46	543	179	169	244	88	246	371	1035	1595	846	331	2333	307	175	711	2817	97	319	418	544	766	300	377	481	288	560	696	357	196	228
hsa-miR-106b-5p	634	721	509	434	601	124	1144	540	413	576	484	261	47	16	7	132	70	64	86	57	114	152	621	566	410	95	834	120	135	288	925	99	94	188	278	271	349	645	435	300	664	1120	821	271	331
hsa-miR-107	1122.67	1183.67	569.5	710	1416	200	1826.33	992	589.33	2456.33	1395.33	1058.33	280.67	129.33	36	862.67	282.67	314.67	415.33	205.67	407.33	643	1779.67	2374.67	861.33	280.67	2996	518.67	340.67	910.67	4748.67	296.67	501.67	932.67	802.67	1197.33	525.67	862	736.33	518.33	1049.67	1483.17	991.33	369.67	502.33
hsa-miR-10a-3p	1	2	1	4	8	0	1	2	5	7	8	1	0	0	0	0	0	0	0	2	0	0	9	2	0	0	6	6	0	0	4	0	0	0	0	7	0	3	0	4	6	7	3	0	3
hsa-miR-10a-5p	1657	1372.5	586	1749	2642	432	1735	1713	1384	2462.5	2107	1346.5	276	268	75	394	474	348	694	355	1356.5	719	6110	1367	1251	851	1557	600	1038	956.5	2652	507	646	868	615	435	888	2260	1352	1209	1280	3782.5	2660	1036	1165
hsa-miR-10b-3p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	0	0	0	5	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0
hsa-miR-10b-5p	1251	2374.5	502	1942	1292	927	2684	1838	1757	1943.5	4811	2086.5	721	593	180	709	1072	527	984	394	2768.5	1547	20723	711	1279	1552	1392	1213	2807	2548.5	1143	1501	1700	1284	1316	545	962	3465	799	1588	948	2288.5	5094	1632	1386
hsa-miR-11181-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
hsa-miR-11399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-11400	291	330	162	219	474	53	178	229	224	648	313	226	9	24	11	205	36	18	40	54	125	49	183	754	367	43	1024	133	37	148	1369	25	56	86	138	157	179	158	185	135	270	381	248	55	98
hsa-miR-11401	1	6	0	0	0	0	1	1	3	9	6	2	0	0	0	3	0	0	0	0	0	0	0	14	0	2	0	0	0	0	11	0	0	9	0	0	0	0	1	0	0	2	2	0	0
hsa-miR-1179	4	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	2	0	0	0	0	0	0	0	2	0	1	0	2	0	0
hsa-miR-1180-3p	6	5	4	4	2	3	11	4	2	18	12	16	2	6	2	4	4	0	0	2	3	0	28	21	19	1	65	3	0	10	18	0	0	0	6	4	5	5	6	4	5	10	6	1	0
hsa-miR-1181	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1182	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1185-1-3p	35.5	17	7	19	51.5	4	2	21.5	18	28	16	22	2	0.5	0	5	3	1	3	2.5	19	3	8	68.5	97.5	8	135	5	3	14.5	18	0	1	30	15	2	20	17.5	9	9	40.5	29	39	6	15
hsa-miR-1185-2-3p	3.5	1	1	0	5.5	0	1	4.5	1	5	0	2	0	0.5	0	0	0	0	0	0.5	0	0	0	9.5	7.5	0	6	0	0	2.5	1	0	0	5	0	0	2	3.5	1	0	1.5	6	3	0	0
hsa-miR-1185-5p	7.5	0.5	0.5	2.5	3.5	1	1	2	1	2	0	1.5	0	0	0	0	0	0	0	0	0	0	0	5	1.5	0	4	0	0	0	0.5	0	0	0.5	0	0	4	1.5	1	0.5	2.5	1.5	4.5	3.5	2
hsa-miR-1193	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
hsa-miR-1197	14	7	0	15	10	0	0	7	4	6	3	6	5	0	0	7	0	0	0	1	0	0	0	17	10	1	16	0	3	9	9	0	1	18	5	13	11	8	2	6	5	13	13	4	3
hsa-miR-1203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-1207-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
hsa-miR-12114	3	0	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	2	3	0	0
hsa-miR-12116	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12135	13	12	1	1	45	9	2	2	21	11	1	35	0	1	1	9	1	3	0	0	3	0	3	8	38	3	213	2	10	2	35	1	0	0	0	4	4	14	1	9	4	15	1	10	4
hsa-miR-12136	60	62	32	27	122	11	15	27	46	118	171	215	40	7	2	122	4	23	18	12	11	31	51	93	124	20	220	31	17	57	210	3	13	92	119	60	15	33	53	15	54	92	41	24	23
hsa-miR-122-3p	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-122-5p	1316	50	2	55	82	4	43	96	901	17	27	40	12	1	17	14	7	1	10	4	51	4	23	150	305	4	253	4	47	35	51	21	18	14	15	2	73	49	20	16	76	89	44	44	60
hsa-miR-1224-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
hsa-miR-1224-5p	1	6	1	0	0	1	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	2	11	0	0	0	1	0	0	2	0	0	2	1	1	1	1	0	4	2	0
hsa-miR-1225-3p	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1225-5p	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
hsa-miR-1226-3p	3	0	0	0	1	0	0	3	1	0	3	0	0	0	0	6	0	0	0	1	0	0	0	5	0	0	0	2	0	0	4	0	0	0	0	2	4	0	1	1	0	2	1	0	0
hsa-miR-1226-5p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-1227-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-1228-3p	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-1228-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
hsa-miR-1229-3p	50	32	35	29	60	6	37	47	9	57	27	42	8	4	0	6	6	0	13	5	27	1	28	48	35	1	64	13	8	11	45	3	19	42	17	13	29	27	58	20	39	45	27	18	28
hsa-miR-1229-5p	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1233-3p	2	0.5	0	0.5	3.5	0	0	0.5	0.5	1	0.5	1	0	0	0	0	0	0	0	0	0	1	1	2.5	0	3	2	0	0	2.5	3	0	0.5	1.5	2	1.5	0.5	1.5	2	0	0.5	1.5	0.5	0	0
hsa-miR-1233-5p	0	1	0	0	0.33	1	0	0	0	0.5	0	1.5	0	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0.5	0	0	1.5	0	1	0	0
hsa-miR-1234-3p	1	2	1	0	1	0	1	0	0	1	2	0	1	2	0	1	0	0	0	2	0	0	2	2	16	1	1	0	0	4	7	1	3	0	0	4	1	2	4	0	0	2	2	1	0
hsa-miR-1237-3p	1	3	0	0	4	0	0	2	0	0	0	0	0	1	0	1	0	1	0	0	0	7	0	5	0	0	2	0	0	0	0	1	3	0	0	0	0	0	2	0	3	3	0	0	0
hsa-miR-1238-3p	5	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	5	0	0	6	6	0	4	1	0	0	0	1	0	0	5	1	0	0	0	0	0	0
hsa-miR-124-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67	0	1	0	0.33	0	0	0	0	0.67	0.33	0	0	0	1	0	0	0.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1244	0	0	0	0	1.25	0	0	0.25	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0.5	0	0.25	0	0	0	0.75
hsa-miR-1246	23	5	7	24	15	4	1	26	41	0	1	3	3	3	0	0	0	3	7	2	10	11	1	6	34	2	29	5	10	9	8	8	1	1	247	58	4	3	4	4	7	8.5	4	19	3
hsa-miR-1247-5p	0	0	0	0	0	0	0	1	3	1	0	0	1	1	0	0	0	0	0	0	0	6	15	1	1	1	3	6	5	0	2	0	6	9	0	1	0	2	0	2	0	0	2	0	0
hsa-miR-1248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-1249-3p	79	90	46	39	142	12	39	72	51	46	38	85	3	11	0	16	5	2	7	4	35	6	16	26	114	9	174	14	0	9	117	2	22	15	28	23	62	90	122	55	76	128	69	61	53
hsa-miR-1249-5p	0	0	0	0	1	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0
hsa-miR-1250-5p	2	1	2	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1255a	28	24	16	12	18	2	30	17	23	5	7	9	4	1	0	0	0	0	0	0	4	0	9	27	27	0	36	6	1	3	39	4	1	0	7	0	13	3	18	4	7	19	15	1	3
hsa-miR-1255b-5p	1	1	0	0	0	0	1	2	0	0.5	0.5	0	0	0	0	0	0	0	0	0	2.5	0	0	3	2	0	1	0	0	0	2.5	0	0	0	0	0	0	0	1	0	1	1	0	0	1
hsa-miR-1256	8	3	1	0	0	0	1	2	1	1	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	4	0	0	0	0	2	1	0	0	0	4	5	0	0	3
hsa-miR-1258	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-125a-3p	23	28	13	11	77	1	4	11	7	45	4	32	12	0	0	3	1	5	6	2	2	4	0	20	20	2	163	1	9	0	47	0	0	9	14	18	5	4	27	12	26	22	5	3	3
hsa-miR-125a-5p	4110	3216	1618	1703	8602	225	1885	1697	1198	2614	1369	1574	171	154	62	229	119	140	262	164	457	331	1332	1296	1766	203	7651	620	543	440	1369	180	272	644	219	479	1055	1098	2955	557	2011	3065	1503	829	1670
hsa-miR-125b-1-3p	2	0	1	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	6	0	0	0	1	0	0	1	0	0	2	0	1	1	0
hsa-miR-125b-2-3p	4	1	0	1	5	0	5	3	7	16	7	8	2	4	2	4	0	5	13	0	3	9	22	12	6	0	13	6	9	4	10	2	11	1	2	3	3	5	0	2	2	5	4	5	7
hsa-miR-125b-5p	19	6	6	7.5	19.5	3	14.5	8	7.5	20	13.5	7	1.5	3	4	3	1.5	3	5	4.5	2.5	3.5	12.5	11	14	5	14	3	7	8	9	1.5	2.5	8.5	4	3	6	10	5	10.5	9.5	28	26	6.5	8.5
hsa-miR-126-3p	4018	4149	1392	2375	4486	467	2306	2317	2292	5325	3811	5073	446	299	208	1136	425	269	903	808	1525	1880	5514	5124	5088	555	11125	1569	901	1970	10267	724	630	1568	1346	1034	1678	1859	2068	1004	2801	4652	3154	931	1615
hsa-miR-126-5p	20108	23668	7721	13204	20176	2389	12711	13482	11747	37342	22512	33547	2481	2044	1463	7279	2409	1758	5430	4457	8877	9279	32866	33496	28358	3241	69669	8998	5342	11527	65846	4803	3668	8945	9767	9169	9383	11341	10548	5316	15381	27096	19082	4628	9546
hsa-miR-1260a	795	513	230.5	183	1509	77.5	254.5	312	307	667	289	476	43	56.5	11	108.5	38.5	73.5	76.5	47.5	166.5	206	278.5	615.5	909	116.5	2694.5	206	67.5	180	771	30	53.5	101.5	473.5	848.5	245	318	500.5	251.5	483.5	859.5	356.5	326	271
hsa-miR-1260b	1711	1217	577.5	478	3247	198.5	637.5	777	666	1484	644	1110	72	90.5	28	284.5	88.5	126.5	147.5	160.5	305.5	448	373.5	1549.5	1728	137.5	4777.5	430	101.5	303	2005	66	143.5	299.5	655.5	1117.5	611	784	1285.5	562.5	1214.5	1911.5	732.5	660	624
hsa-miR-1261	1	2	2	3	6	0	1	1	0	0	7	5	11	0	0	0	0	0	0	0	1	0	1	0	4	1	9	0	0	2	10	4	2	0	14	38	1	0	4	1	0	4	0	0	0
hsa-miR-1262	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1266-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0
hsa-miR-1268a	1	1	0	0	2	0	0	1	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	1.5	0.5	0	5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	2	0	0	0	1
